_id,pic,shopaddress,shopcatogory,shopid,shopname
746e0f83662a4c2502597e0f5f458eec,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/101.png?sign=27826706310e872fd8a692e56edcb682&t=1714309003,一食堂1F,早餐店,101,营养早餐
746e0f83662a4c2502597e105e2cb1a9,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/102.png?sign=72277a6bc4cfae6644744b702a037bc5&t=1714309029,一食堂1F,快餐便当,102,小厨精品菜
746e0f83662a4c2502597e111e12c8ea,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/103.png?sign=2d18f8fbeaf81f7db6a38a3d0dbdad7b&t=1714309048,一食堂1F,中式面食,103,风味拉面
746e0f83662a4c2502597e1229033dc6,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/104.png?sign=900d01306d2c3cd2b0506ecb5473ef17&t=1714309255,一食堂1F,中式面食,104,私房面馆
746e0f83662a4c2502597e136120dbca,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/105.png?sign=948924588e50e06911164aea4e3195e6&t=1714309272,一食堂1F,中式面食,105,阿香馄饨
746e0f83662a4c2502597e14172b86c2,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/106.png?sign=75067741ae5f8fdabd7176da0816d6c8&t=1714309290,一食堂1F,地方菜肴,106,淮南牛肉汤
746e0f83662a4c2502597e155e5a256b,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/107.png?sign=3544eda47d22f5bad946600865a66dbd&t=1714309302,一食堂1F,地方菜肴,107,秦小宝·热米皮
746e0f83662a4c2502597e167e082485,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/108.png?sign=7dfae494e65dec2e2c31be8a2f63516b&t=1714309315,一食堂1F,泡饭/拌饭/炒饭,108,桶桶香
746e0f83662a4c2502597e17172f5d57,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/109.png?sign=59a04ea91049499f13a706bcadbd3beb&t=1714309337,一食堂1F,泡饭/拌饭/炒饭,109,今回味炒饭
746e0f83662a4c2502597e18099f2851,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/110.png?sign=b255ac587310051076ade34baefea752&t=1714309350,一食堂1F,泡饭/拌饭/炒饭,110,食尚卤
746e0f83662a4c2502597e194dd0aa6f,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/111.png?sign=762e1c4378fe1c309a3652a34a175bd3&t=1714309362,一食堂1F,自选风味料理,111,川府麻辣香锅麻辣烫
746e0f83662a4c2502597e1a7c40b946,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/112.png?sign=1ae0eee3a0557f096fd393cd067a6ca3&t=1714309375,一食堂1F,自选风味料理,112,萌煮小锅仔
746e0f83662a4c2502597e1b00b55e80,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/201.png?sign=8bbd375778fdb76d949f321e75093fa8&t=1714309395,一食堂2F,早餐店,201,大众早餐
746e0f83662a4c2502597e1c03448329,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/202.png?sign=e567e12dcbe38de973853deda46267c7&t=1714309411,一食堂2F,快餐便当,202,沪上小炒
746e0f83662a4c2502597e1d2fadd225,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/203.png?sign=dfbd21365b03215b1c90134577c323a0&t=1714309432,一食堂2F,中式面食,203,九里香鸡丝面
746e0f83662a4c2502597e1e71db3c49,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/204.png?sign=de926b608a7f907a028995ec289ed846&t=1714309449,一食堂2F,中式面食,204,大大大碗面
746e0f83662a4c2502597e1f214bb24a,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/205.png?sign=049a584b87070a8bf665d89a1fc17693&t=1714309474,一食堂2F,中式面食,205,美润水饺
746e0f83662a4c2502597e200c84e4cc,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/206.png?sign=ff497994509199bf5dc46dc815286cc5&t=1714309490,一食堂2F,地方菜肴,206,山东杂粮煎饼
746e0f83662a4c2502597e211cebb26c,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/207.png?sign=9fd9d2243db1550a2dfcfdf767a39d9b&t=1714309506,一食堂2F,泡饭/拌饭/炒饭,207,铁板炒饭
746e0f83662a4c2502597e225898ed5b,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/208.png?sign=6bff54b9838e5d7cae724befbbd7a9b6&t=1714309519,一食堂2F,泡饭/拌饭/炒饭,208,手撕鸭
746e0f83662a4c2502597e232ea22576,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/209.png?sign=adaaace0d8b4a204c19aebdcdc2e7764&t=1714309534,一食堂2F,泡饭/拌饭/炒饭,209,申氏浇汁虾米饭
746e0f83662a4c2502597e2413e955c1,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/210.png?sign=6346bf92e382994fdd06abc4363e7a15&t=1714309549,一食堂2F,自选风味料理,210,王记麻辣香锅
746e0f83662a4c2502597e25786278be,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/301.png?sign=ac0297b5f31c3e58bf7f766faf7c6742&t=1714309568,一食堂3F,快餐便当,301,学府蒸菜
746e0f83662a4c2502597e266a4264a0,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/302.png?sign=ecc0419f2bb631d2982dca9cafbb6d78&t=1714309582,一食堂3F,中式面食,302,茄汁面
746e0f83662a4c2502597e27307659fb,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/303.png?sign=80c1e7d85f06f6bfdc874aa692224051&t=1714309601,一食堂3F,地方菜肴,303,湘西小炒
746e0f83662a4c2502597e282842386d,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/304.png?sign=48801e8b6dba0d7c5820ec553841a308&t=1714309615,一食堂3F,地方菜肴,304,川味锅仔
746e0f83662a4c2502597e290cae9f88,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/305.png?sign=a815fcf8e9f5719cdbafc8797b847db8&t=1714309635,一食堂3F,地方菜肴,305,川香水煮
746e0f83662a4c2502597e2a311cc91b,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/306.png?sign=8d8e4fb146648f9b3fa8fbda977a33b7&t=1714309652,一食堂3F,泡饭/拌饭/炒饭,306,烤肉饭
746e0f83662a4c2502597e2b755a5b9d,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/307.png?sign=529a8661aa5f7ac694d23be5f077303f&t=1714309672,一食堂3F,泡饭/拌饭/炒饭,307,咖喱饭、牛丼饭
746e0f83662a4c2502597e2c2ad10ffa,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/308.png?sign=74ae093b3a6dce0bcba9660c1b11d973&t=1714309887,一食堂3F,泡饭/拌饭/炒饭,308,脆皮鸡饭/猪肚鸡
746e0f83662a4c2502597e2d3bcc2acc,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/309.png?sign=122c9572b21cc3d296ea4c9b16a35acc&t=1714309896,一食堂3F,泡饭/拌饭/炒饭,309,优米香
746e0f83662a4c2502597e2e6013ce3f,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/310.png?sign=82a26f5f93d98b7360e9551784bf8b2e&t=1714309906,一食堂3F,泡饭/拌饭/炒饭,310,米言牛肉饭
746e0f83662a4c2502597e2f79449ee1,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/311.png?sign=32e37aa4ef4986e25f0d45a23da6cc75&t=1714309916,一食堂3F,泡饭/拌饭/炒饭,311,煲仔饭
746e0f83662a4c2502597e30060908c5,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/401.png?sign=262b43fa49692d9b373db6ed2ee67068&t=1714309929,西餐厅,西餐,401,卡塞米罗西餐
746e0f83662a4c2502597e317160bf15,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/402.png?sign=3d84365f9fd7d47a3e80d9b082f88e90&t=1714309936,西餐厅,地方菜肴,402,酸小七酸汤鱼
746e0f83662a4c2502597e32703e8190,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/403.png?sign=08d42a0cda093f9b503963b228c1fe93&t=1714309942,西餐厅,中式面食,403,朱家小馆面馆
746e0f83662a4c2502597e332ea1ce39,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/404.png?sign=430764875973a4d4d97f885daaff0afc&t=1714309952,西餐厅,地方菜肴,404,成都冒烤鸭
746e0f83662a4c2502597e344625d301,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/405.png?sign=297fa35b722143778a30a59d2db4c1fe&t=1714309958,西餐厅,泡饭/拌饭/炒饭,405,香肉拌饭
746e0f83662a4c2502597e35483477a9,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/406.png?sign=9033b9d2ca417cf1a0bf69127fc852fd&t=1714309964,西餐厅,自选风味料理,406,韩式烤盘饭
746e0f83662a4c2502597e363299cc2c,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/407.png?sign=eef80f1285697f1cfc7300897e96d1b5&t=1714309970,西餐厅,西餐,407,巨星潮中国汉堡
746e0f83662a4c2502597e3759eebc77,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/501.png?sign=ea4e60ba9ab9dac9176262dcfbc5412c&t=1714309978,二食堂1F,快餐便当,501,清真自选菜
746e0f83662a4c2502597e3872e6f999,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/502.png?sign=183588ea02082712eff6e3ed1bb0dac2&t=1714309985,二食堂1F,早餐店,502,清真早餐
746e0f83662a4c2502597e3957d9728b,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/601.png?sign=04eac89bbffa8f92e47c623fd0c5c31f&t=1714309992,二食堂2F,快餐便当,601,精品小炒
746e0f83662a4c2502597e3a0661724b,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/602.png?sign=0aae71a68251c2f377e7ba7cc8d889dd&t=1714310002,二食堂2F,西餐,602,维咔斯国潮汉堡
746e0f83662a4c2502597e3b4b3b57ec,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/603.png?sign=4bc0a80111b1956b834bb655bb804364&t=1714310007,二食堂2F,西餐,603,西里巷•铁板厨房
746e0f83662a4c2502597e3c5017051c,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/604.png?sign=52dff068dcd9368da20c2fbea6e8027a&t=1714310013,二食堂2F,中式面食,604,嗨族拌面
746e0f83662a4c2502597e3d799301dc,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/605.png?sign=34f1e89eaf6d3c32de52df71bc25e80f&t=1714310019,二食堂2F,中式面食,605,重庆火锅米线
746e0f83662a4c2502597e3e09bfc5ae,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/606.png?sign=a304ac3845048083b07765f3dc2736da&t=1714310030,二食堂2F,炸鸡炸串,606,正新鸡排
746e0f83662a4c2502597e3f4e2a9d35,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/607.png?sign=91c2c266de8bfc4e9aa9932f3dfc5c83&t=1714310036,二食堂2F,泡饭/拌饭/炒饭,607,茶泡饭
746e0f83662a4c2502597e400d7dd1f9,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/608.png?sign=f62f935900f8f2d1707905e4d94fa2f7&t=1714310044,二食堂2F,泡饭/拌饭/炒饭,608,F+牛肉饭
746e0f83662a4c2502597e415d41e841,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/609.png?sign=1831576a11b3914134bb99ff4d04e411&t=1714310053,二食堂2F,自选风味料理,609,金日升烤盘饭
746e0f83662a4c2502597e427c9f8133,https://636c-cloud1-5g7gqt2sc10d254f-1325700503.tcb.qcloud.la/%E8%AF%8D%E4%BA%91%E5%9B%BE/610.png?sign=2a28a91f16bcb1dcbdaf45a2fe40ef31&t=1714310058," 二食堂2F",自选风味料理,610,鑫向隆麻辣烫麻辣香锅
